,4. Alvenaria superior,THY Engenharia,1,2025-09-29 00:00:00,2025-10-27 00:00:00,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5. Cobertura,THY Engenharia,1,2025-10-28 00:00:00,2025-11-27 00:00:00,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6. Infraestrutura de Hidraulica ,THY Engenharia,0.9,2025-10-28 00:00:00,2025-11-27 00:00:00,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7. Infraestrutura  de eletrica ,THY Engenharia,0.9,2025-10-28 00:00:00,2025-11-27 00:00:00,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8. Infraestrutura de ar-condicionado,THY Engenharia,0,2025-11-28 00:00:00,2025-12-27 00:00:00,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9. Reboco interno ,THY Engenharia,0,2025-11-28 00:00:00,2025-12-27 00:00:00,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10. Reboco externo ,THY Engenharia,0,2025-11-28 00:00:00,2025-12-27 00:00:00,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11. Acabamentos internos terreo,THY Engenharia,0,2025-12-28 00:00:00,2026-01-27 00:00:00,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12. Acabamentos internos superior,THY Engenharia,0,2026-01-27 00:00:00,2026-02-26 00:00:00,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13. Acabamentos externos,THY Engenharia,0,2026-02-27 00:00:00,2026-03-29 00:00:00,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14. Forro de gesso,THY Engenharia,0,2026-03-30 00:00:00,2026-04-29 00:00:00,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15. Pintura,THY Engenharia,0,2026-03-30 00:00:00,2026-05-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16. Interruptores,THY Engenharia,0,2026-05-01 00:00:00,2026-05-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17. Paisagismo,THY Engenharia,0,2026-05-01 00:00:00,2026-05-31 00:00:00,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
