,4. Alvenaria superior,THY Engenharia,100%,9/29/2025,10/27/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5. Cobertura,THY Engenharia,100%,10/28/2025,11/27/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6. Infraestrutura de Hidraulica ,THY Engenharia,90%,10/28/2025,11/27/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7. Infraestrutura  de eletrica ,THY Engenharia,90%,10/28/2025,11/27/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8. Infraestrutura de ar-condicionado,THY Engenharia,0%,11/28/2025,12/27/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9. Reboco interno ,THY Engenharia,0%,11/28/2025,12/27/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10. Reboco externo ,THY Engenharia,0%,11/28/2025,12/27/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11. Acabamentos internos terreo,THY Engenharia,0%,12/28/2025,1/27/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12. Acabamentos internos superior,THY Engenharia,0%,1/27/2026,2/26/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13. Acabamentos externos,THY Engenharia,0%,2/27/2026,3/29/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14. Forro de gesso,THY Engenharia,0%,3/30/2026,4/29/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15. Pintura,THY Engenharia,0%,3/30/2026,5/30/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16. Interruptores,THY Engenharia,0%,5/1/2026,5/31/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17. Paisagismo,THY Engenharia,0%,5/1/2026,5/31/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
